"Name","Right to assemble"
"Title","Right to assemble"
"Date","June 25, 2024 at 03:38 PM (GMT)"
"Duration","02:32:07"
"Participants","318"
"Participant Limit","350"
"Total Screener Polls","5"
"Total Conversation Questions","6"

""
""
"","","Participant Id","Sample Provider Id","What is your political viewpoints?","Which category includes your age?","What is your engagement or relationship (current or past) to a college or university?","What is your gender identity?","How would you describe your ethnicity? - White","How would you describe your ethnicity? - Black or African American","How would you describe your ethnicity? - American Indian or Alaskan native","How would you describe your ethnicity? - Asian","How would you describe your ethnicity? - Native Hawaiian or Pacific Islander","How would you describe your ethnicity? - Latinx","How would you describe your ethnicity? - From multiple races","What are features or characteristics that make a protest  appropriate?","Sentiment","All (%agree)","What characteristics or actions, in your view, deem a protest inappropriate?","Sentiment","All (%agree)","Have you attended or participated in a protest?","Branch A - How has your personal experience with protests influenced your viewpoint on the right to assemble?","Sentiment","Branch A - Yes (%agree)","Branch B - What are some of the reasons you have not participated in or attended a protest?","Sentiment","Branch B - No (%agree)","What measures (if any) could be taken to ensure appropriate protests are protected?","Sentiment","All (%agree)","What measures (if any) could be taken to restrict or limit inappropriate protests?","Sentiment","All (%agree)","Muted"
"","","47cddf6a-5ce2-449a-934f-5e3ed0407e4f","","Moderate","30-39","Community member","Male","White","--","--","--","--","--","--","The right of the people to peaceably assemble ","Neutral","52%","Illegal actions or violence. Defacing property.","Neutral","79%","No","--","--","--","I have a life","Neutral","46%","Police presence ","Neutral","61%","Police presence ","Neutral","69%","False"
"","","3860b090-e302-4b1d-992a-e032cd84c07e","","Moderate","30-39","Staff","Female","White","--","--","--","--","--","--","Listen to everyone's concerns, Dialogue must be the first priority, make it a click on social media","Neutral","51%","Inappropriate names, threats and slander. Not making it a safe place to express and exchange opinions with one another. ","Negative","42%","No","--","--","--","There is not a good one that I really care about nearby where I live.","Negative","36%","I do not want to get involved. ","Negative","29%","No idea 

","Neutral","28%","False"
"","","cfdb6e13-312c-4254-a3c5-424ecca60bb5","","Very liberal","50-59","Community member","Female","White","--","--","--","--","--","--","a protest is appropriate for any reason, at any time, as long as people aren't causing harm","Neutral","53%","violence to other people, destruction of property and creating an unsafe environment","Negative","83%","No","--","--","--","Fear of it escalating to violence","Negative","69%","self control, not mob mentality","Neutral","38%","self control","Neutral","44%","False"
"","","f1261513-1be2-479d-ab66-04ef82dad6be","","Slightly conservative","30-39","Community member","Male","White","--","--","--","--","--","--","being non-violent.","Neutral","57%","Violence, disrupting traffic.","Negative","79%","No","--","--","--","They are not effective. They are full of idiots that often end up trashing the area.","Negative","48%","no idea.","Neutral","27%","don't know","Neutral","27%","False"
"","","9d92f27a-c1df-4f4e-b877-08b677a82fd9","","Slightly liberal","Above 60","Faculty","Female","White","--","--","--","--","--","--","peaceful gathering exercising of free speech and ideas","Positive","54%","all of the above mentioned","Neutral","23%","Yes","not necessarily","Neutral","28%","--","--","--","a security force to protect protestors not arrest them!!","Neutral","64%","not sure","Neutral","27%","False"
"","","25172714-50c8-404a-a3c2-4c19344129af","","Very conservative","30-39","Community member","Male","White","--","--","--","--","--","--","A good protest is one where people keep it peaceful. No violence or messing stuff up—that just muddles the message. It's gotta be clear what they're protesting about, like everyone's on the same page. Timing's important too, hitting the right moment can really shake things up. And it's awesome when everyone feels welcome, like it's a big community standing up together. Plus, talking to the right folks and getting the neighborhood involved, that's how you show you're serious about making th","Neutral","53%","A protest gets sketchy when it turns violent or starts trashing stuff—it's all about keeping it peaceful.","Neutral","47%","No","--","--","--","they accomplish nothing","Negative","37%","They need to be heavy police control and should only be allowed betwee 8 am and 10 pm","Negative","55%","More police","Neutral","63%","False"
"","","37e45398-d4bc-4267-a2bb-c734a079f22c","","Very conservative","Above 60","Community member","Female","White","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","False"
"","","c3d00444-7316-481b-8308-577b438dea73","","Very conservative","30-39","Current student","Female","--","Black or African American","--","--","--","--","--","when it is free of of weapons and violence. and the protestants do not cause any damage to people and properties","Neutral","54%","when the protest causes traffic and interferes with peoples daily activities and it is violent and causes damages to peoples properties","Negative","82%","No","--","--","--","the groups that i am a part of are pleased right the rights thy are entitled to. and mostly I fear that these protests may turn out to be harmful and violent","Neutral","69%","i dont think i know so much about this","Neutral","29%","there should be laws","Negative","63%","False"
"","","13df00ec-9bd6-42a7-bbc9-dbaba06b877d","","Moderate","50-59","Community member","Male","White","--","--","--","--","--","--","if there are legitimate grievances that need to be addressed.  Not just because you are mad at something","Neutral","50%","Violence, destruction of property, intimidation","Negative","82%","No","--","--","--","The Mob mentality takes over and when people are being rounded up it doesn't matter if you were the one breaking the law or not.","Negative","68%","To apply the standards equally.  Not arrest some people and not others depending on what the protest was for.","Neutral","65%","Remove people that incite violence or the destruction of property.","Negative","64%","False"
"","","32750779-b8d6-4924-bb9d-c481ebbd5bda","","Very liberal","40-49","Staff","Female","White","--","--","--","--","--","--","It allows the general public freedoms of speech and press. It also allows the general public to peacefully assemble and redress the government ","Neutral","48%","Violence, destruction, any harmful or damaging to people or property ","Negative","82%","Yes","My protest experience was peaceful. It was a good experience and promoted my support for assembly","Positive","71%","--","--","--","Law enforcement should respect the protesters and not get violent","Negative","71%","Check for weapons, police presence only for property control ","Neutral","71%","False"
"","","90e0f6d5-bf5e-4cea-bc8f-acdefb84919e","","Slightly liberal","Above 60","Community member","Female","White","--","--","--","--","--","--","There iare not specific features.  Usually a protest is an assembly meant to speak against inequality of some sort.  ","Neutral","56%","Violence, defacing property can be inappropriate.  However, often it is not the protestors that do this, it is others trying to stir the pot. And often the violence comes from law enforcement.","Negative","80%","Yes","Yes it has.  ","Neutral","48%","--","--","--","Police could be less racists.  They stood back when the capitol was stormed, but went after black protestors with pepper spray and batons when they were peacefully assembled.","Neutral","41%","The protests themselves are not inappropriate.  The responders, and the outsiders that come to stir it up is what causes chaos.  And unfortunately, without protest, this country would still have women and people of color unable to vote or own property.  ","Neutral","48%","False"
"","","e553395c-13ec-46f9-9d96-0b15933df80c","","Very liberal","Above 60","Current student","Female","White","--","--","--","--","Latinx","--","Giving voice to opinions so that they are heard.","Neutral","52%","Wanting to destroy property or disrupt people's movement in their daily lives, such as stopping traffic on the freeway. Those protest actions are never effective and are clearly more driven by ego than message. ","Negative","71%","Yes","I participated in a march against the war during the second President Bush's term. It was a peaceful march through the streets of Hollywood that gathered thousands. No violence of any kind happened. ","Neutral","65%","--","--","--","Not sure what this question means. Protection during the protest (police presence or L.A. used to have Guardian Angels who were present on the streets) or if you mean laws.","Neutral","38%","Not sure other than putting rules in place but then those often get broken in the heat of the moment. Hard to answer. ","Negative","41%","False"
"","","c7f46602-2142-4948-bf38-db68d2f3e830","","Very liberal","Above 60","Community member","Male","White","--","--","--","--","--","--","Well, the constitution protects the right to ""peaceably"" assemble.  So it says (and I agree) that the key is that the protest must remain ""peaceable"".  So no harm to others is a minimum restriction.  I personally would add no destruction of  property involved, other than items personally and individually owned by the protester.  ","Neutral","57%","Violence or destruction of property or the violation of rights of others.  Many would prohibit hate speech, I wouldn't per se, although I would prohibit inciting others to violence.","Negative","78%","Yes","I don't think it influenced my viewpoint at all.  I attended a peaceful protest, and support such protest still.","Negative","69%","--","--","--","Don't elect a stochastic terrorist as President.  ","Negative","39%","Arresting, convicting and punishing those committing inappropriate acts.  Focus on the higher-up instigators, not the cannon-fodder participants.","Neutral","71%","False"
"","","5554c247-1a70-403d-b6bd-33a978097161","","Moderate","30-39","Faculty","Male","--","Black or African American","--","--","--","--","--","Non Violence, respect for law and regulations, clear purpose and message, diversity and inclusivity and transparency.","Neutral","56%","Violent and no respect for the law, lack clear purpose or message, disruption of public order and exclusionary or divisive tactics.","Negative","72%","Yes","I have been to a violent protest and it made me never want to protest again but also been to a peaceful one. ","Neutral","68%","--","--","--","Max security, Law and order, inclusiveness and clear message","Neutral","70%","High security presence","Positive","69%","False"
"","","6e4147c1-9577-4b07-88fc-d445853c50d9","","Slightly conservative","18-20","Current student","Male","White","--","--","--","--","--","--","The protest must be peaceful and not encroach upon other's freedoms.","Negative","56%","Mostly things that involve violence. Such as but not limited to: trashing stores/stealing, arson, use of weapons, and so forth.","Neutral","81%","No","--","--","--","There has not been an issue that I have found personally important enough.","Positive","42%","I think making sure the violent protests are dealt with legally and firmly would help.","Neutral","77%","I think punishing those who make them inappropriate would help.","Negative","66%","False"
"","","51891ee2-ce63-42ae-b17a-dd3a555f4d5b","","Slightly conservative","30-39","Community member","Male","--","--","--","--","--","--","From multiple races","As long as its peaceful and not violent","Neutral","54%","it causes harm or stops people from normally doing what they need to do such as go to work or other places","Negative","73%","No","--","--","--","I don't feel like I need to, I'd rather show my support in other ways if I agreed with something same with dis agreeing","Negative","55%","police in the area, maybe somebody manages it so that its peaceful and nice ","Neutral","68%","put harsher punishments for if people do them, fines, jail time, other things","Negative","67%","False"
"","","1b10ec65-e4ed-4dba-9927-e208b445e265","","Very liberal","Above 60","Community member","Male","White","--","--","--","--","--","--","Peaceful behavior within the ranks of the protest. Strong leadership. ","Positive","54%","Violence towards others or property.","Negative","79%","Yes","The protest I joined, in 1970, was large (50K+) and peaceful throughout.","Neutral","68%","--","--","--","Strong leadership and peaceful behavior. Recognition and exposure of agents provocateurs.","Neutral","71%","There a no inappropriate protests, only inappropriate protesters.","Neutral","45%","False"
"","","68fbff20-f48e-4387-91e8-9d5820c027d8","","Slightly liberal","Above 60","Community member","Female","--","Black or African American","--","--","--","--","--","The right to assemble include protest, and marching with no violence.","Neutral","57%","It is inappropriate to block the roads, and to set up tents, and to use any weapons.","Negative","77%","No","--","--","--","I am up in age now, but when I was young I did march and protest.","Negative","67%","To protect the protests we need the Police there to control if there is a problem.","Neutral","76%","No one knows if a protest is going to end up inappropriate.","Negative","38%","False"
"","","cc4fa71d-53dc-4ee8-830b-fe5b829e1625","","Very liberal","50-59","Community member","Male","White","--","--","--","--","--","--","I think as long as the people who are involved in the protests are peaceful and don't commit any acts of violence Then the protest should be allowed. I think a small amount of disruption should be allowed, but anything that blocks access to necessary buildings for other people should not be allowed.","Neutral","55%","Any kind of violence or hate speech should not be allowed, as well as interfering in the activities of people in the area to an excessive degree.","Negative","79%","No","--","--","--","I am not fond of crowds and I have limited transportation. I've also seen too many protests get out of hand and the police responded overly aggressively, and I don't want to experience that.","Negative","72%","I think there needs to be rules and guidelines set up before the protests that the protesters have to follow or they will be asked to disperse. I think a security presence is also a good idea, But I'm hesitant about using the police as they have a history of overreacting.","Neutral","78%","I think a greater oversight of protest permits is needed, and it should be okay to limit people from protesting if they have a history of violent behavior in previous protests. Free speech is okay but using it as an excuse for violence and destruction is not.","Negative","69%","False"
"","","7e6307b6-1947-4762-9bc4-2ab4a153ee9a","","Moderate","Above 60","Community member","Male","--","Black or African American","--","--","--","--","--","An appropriate protest should be peaceful, avoiding violence and harm. It needs to have clear goals and focus on a specific issue or message. Following legal rules and obtaining necessary permits is important, as is respecting the rights and safety of others and protecting property. Good organization and planning are crucial for smooth logistics and communication. The protest should be inclusive, allowing diverse participation and ensuring accessibility for everyone. Effective communication is k","Neutral","52%","A protest is deemed inappropriate if it involves violence or destruction, such as causing physical harm to people or vandalizing property. It becomes problematic when it lacks a clear purpose, with no specific goals or a message that’s diluted by unrelated issues. Breaking the law by not obtaining necessary permits or engaging in illegal activities, like blocking emergency services, makes a protest unsuitable. Disrespecting others’ rights, including obstructing essential services, intimidating o","Negative","77%","Yes","My personal experience with protests has reinforced my belief in the fundamental right to assemble as a powerful tool for expressing dissent and advocating for change. Participating in peaceful, well-organized demonstrations showed me how they can effectively raise awareness and unite people for a common cause. However, witnessing protests that turned violent or chaotic underscored the importance of maintaining respect, order, and clear goals to preserve the legitimacy and impact of the right to","Neutral","69%","--","--","--","To protect appropriate protests, clear legal frameworks should be in place to support the right to peaceful assembly while preventing violence and disruption. Streamlining the permitting process helps organizers comply with regulations more easily. Police training in crowd management and de-escalation techniques ensures the safety of protesters and maintains order. Providing designated areas for protests allows them to occur safely and visibly. Open communication channels between organizers and ","Neutral","74%","To restrict inappropriate protests, enforcing existing laws against violence and vandalism is crucial. Authorities can deny permits for protests that threaten public safety or disrupt essential services. Implementing strict consequences for illegal actions during protests helps deter harmful behavior. Clear guidelines should be established to identify and address protests that incite hate or violate the rights of others. Maintaining a balance between upholding free speech and ensuring public ord","Neutral","71%","False"
"","","5b7aa3c8-b42e-4bf9-8c22-2945eab81370","","Slightly liberal","21-29","Current student","Male","White","--","--","--","--","--","--","If the protest is non violent, and is not causing any harm emotionally or physically, I believe the protest is appropriate ","Neutral","54%","Violence, blocking traffic, vulgar language ","Negative","60%","No","--","--","--","Time, interest ","Neutral","56%","Laws, order, coverage","Neutral","58%","Police presence ","Neutral","69%","False"
"","","aa20392c-6acc-4f77-b3ff-bb6ff1009d82","","Very conservative","50-59","Community member","Male","White","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","False"
"","","0ef0bf88-94db-49cc-85e2-162091b263f5","","Slightly liberal","40-49","Community member","Female","--","Black or African American","--","--","--","--","--","A protest is appropriate include a shared interest - a common goal

","Neutral","55%","It becomes inappropriate when members of the public are in danger","Negative","75%","No","--","--","--","I'm afraid of being arrested. I'm also afraid that the protest may become unruly and people could get hurt or killed. ","Negative","74%","Perhaps blocking off a section and allowing people to protest in that area only. It feels like adding law enforcement would be adding fuel to a fire, especially if they are partial or biased. ","Neutral","62%","Well, unfortunately there has to be detainment of individuals who are protesting inappropriately. ","Negative","64%","False"
"","","9c2e73ed-fd29-46ce-b560-92609bc4a5b1","","Very liberal","50-59","Community member","Female","--","Black or African American","--","--","--","--","--","Having a right to peaceably assemble.","Neutral","50%","Violence, causing harm to others, and hate-speech.","Negative","82%","No","--","--","--","To avoid being in a situation where the protest becomes violent and dangerous causing myself as well as others to get hurt.","Neutral","66%","Put a limit on the actions of the protest.","Neutral","38%","There should be leaders in each protest and hold them accountable if things get out of hand.","Neutral","62%","False"
"","","c17a8d8d-e448-420f-8de4-980c333ad902","","Very liberal","Above 60","Community member","Male","White","--","--","--","--","--","--","I like the phrase ""peaceably to assemble"" -- ","Positive","48%","Violence. Destruction of property. ","Neutral","82%","Yes","It hasn't affected my viewpoint -- assembly peacefully is a basic right. ","Neutral","68%","--","--","--","Freedom of speech and opinion should be respected and enforced. Rigorous prosecution of protesters who become violent or damage property, and of the same with ""counter-protesters"".","Neutral","73%","If an ""inappropriate protest"" is inappropriate because of racist chanting or intent, that protest should be shut down and stopped. If a protesting organization has a history of property destruction, their protest activity should be disallowed for a substantial period of time. ","Negative","56%","False"
"","","45fd6970-e3e5-4444-983f-e4ed024916be","","Slightly liberal","21-29","Community member","Male","White","--","--","--","--","--","--","A group of individuals gathered at a specific location together to voice their shared opinion on an issue or topic.","Neutral","53%","Vandalizing property, throwing projectiles, inciting violence.","Neutral","82%","No","--","--","--","I have not seen that they are effective","Neutral","48%","Ensure the individuals who are taking part are on the same page regarding the topic and the manner in which the protest will occur","Neutral","73%","prosecute individuals who are unlawfully protesting / inciting violence","Negative","72%","False"
"","","78302372-7111-4e1a-85ee-98df32eae75c","","Slightly conservative","Above 60","Community member","Male","White","--","--","--","--","--","--","Peaceful.  NO destruction of property.  No violence whatsoever. No lewd behavior.  All persons of every race, ethnicity, etc to attend without fear.  ","Neutral","54%","Burning down a store.  Throwing rocks or bricks through business windows.  Looting.  Rape.  Physical altercations that cause bodily harm.  Blocking a road unless blocking that road actually helps to explain the reason for the protest.  Inhibiting people who don't want to participate in the protest from going about their business.  Shaming those who don't agree with the protest by screaming out slurs, etc.  ","Neutral","78%","Yes","It enhanced my belief that the right to assemble peacefully is very important.  Although I don't believe that protests actually change anything, they can motivate people to affect change.  ","Neutral","70%","--","--","--","There's really no way to ensure protection at a protest.  There's no way to screen each and every person attending to make sure they are not plants that are there to purposely disrupt the protest and turn it violent.  The only thing that can be done is for those who are participating in the protest to be on their guard and *quickly* squelch/call out anyone who is obviously there to cause trouble.  ","Negative","41%","None.  A protest typically starts out appropriate and ""turns"" inappropriate.  There's no sure fire way to keep a protest from turning inappropriate.  ","Negative","38%","False"
"","","aee2a166-9cc3-4e34-8664-d72515fb0c93","","Slightly liberal","30-39","Community member","Female","White","--","--","--","--","--","--","Some feature that make a protest appropriate is conducting in a non-violent manner. People should not be breaking any trespassing or looting laws as well. ","Neutral","57%","Trespassing, public indecency, looting, violence","Negative","81%","Yes","I have taken a part of a couple non violent protests and marches. I have seen how protests should be done.","Neutral","69%","--","--","--","The government should act when peaceful protests are happening, as to encourage more peaceful protests in the future.","Neutral","74%","The government should act when peaceful protests are happening.","Neutral","68%","False"
"","","e586b629-ad9c-4716-bcb6-b0e915fe9f7f","","Very liberal","21-29","Community member","Female","--","Black or African American","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","False"
"","","81618758-99de-48d1-aa7d-88f150cf230e","","Slightly liberal","30-39","Current student","Female","--","--","--","Asian","--","--","--","Expressing freedom of speech pertaining to religion, petitions for the Government, or any other grievance as long as it is non-violent.","Negative","56%","When it puts other people in harm's way","Negative","70%","No","--","--","--","Afraid to get in trouble or be harmed","Neutral","60%","A well-maintained Government-hosted system to notify about planned protests so law officials can be ready to keep an eye on the protest to prevent any violence","Neutral","74%","A warning with a clear explanation as to what was unlawful","Neutral","60%","False"
"","","51e6d58c-da91-4473-936d-a212b4892331","","Slightly liberal","30-39","Community member","Non-binary","White","--","--","--","--","--","--","An appropriate protest could be anything from a group of individuals fighting for certain rights, laws, or movement. Sometimes these protests last days-years. 

","Neutral","55%","Characteristics of an inappropriate protest would be police violence, mass-arrest, and the elimination of free-speech.","Negative","64%","Yes","I have first hand experience with how protests can get violent","Negative","58%","--","--","--","Remain diligent on protecting the right to assemble/free-speech.","Positive","71%","Breaking up hate groups that spew hate speech","Negative","59%","False"
"","","37088d05-c5e8-4695-bb32-b4e13bbf254d","","Slightly liberal","40-49","Community member","Female","White","--","--","--","--","--","--","When the protest is peaceful and no violence or vandalism takes place.","Neutral","58%","When a protest is violent.","Negative","58%","No","--","--","--","I haven't felt that any cause drew me in enough to want to fight for it and also fear of violence from other protestors.","Neutral","61%","Having a strong police presence. ","Neutral","65%","Having the protesters get a permit and sign their names to show all that are attending the protest so that they can be held accountable if someone gets out of hand.","Neutral","59%","False"
"","","b553a45a-21ae-4371-896a-4ad6f6326fe9","","Very conservative","21-29","Community member","Male","White","--","--","--","--","--","--","No violence, property damage, or harm to others.","Positive","55%","Physical harm or threat of harm to people, including protesters, law enforcement, or bystanders.","Negative","82%","No","--","--","--","Violence.","Negative","68%","Establish and communicate clear guidelines for protests, including permits, routes, and behavior expectations.","Positive","75%","Ensure a visible police presence to deter inappropriate behavior and maintain public safety.","Neutral","69%","False"
"","","09594b1f-4dbc-4acf-9bc9-23660c0dea62","","Very liberal","30-39","Staff","Female","--","Black or African American","--","--","--","--","--","A peaceful protect.","Positive","52%","not peaceful. breaking into businesses ","Negative","60%","Yes","i have been to nothing but peaceful protest. ","Neutral","66%","--","--","--","alot of police there. maybe start a groupchat and make sure everyone is on the same peaceful path","Neutral","73%","searching people.","Neutral","53%","False"
"","","e4801be4-24b9-48ed-a4a1-4974d5e29949","","Very liberal","40-49","Community member","Female","--","--","--","--","--","--","From multiple races","peaceful, non violent","Positive","54%","violence","Negative","63%","No","--","--","--","I have anxiety around groups of ppl","Negative","62%","Idk","Neutral","31%","Idk","Neutral","33%","False"
"","","e2ff6c4f-f9db-4bc2-8d96-c7044c2fcf1d","","Slightly liberal","30-39","Community member","Male","--","Black or African American","--","--","--","--","--","Peaceful assembly would be the main feature","Neutral","55%","Violence and destruction of property that does not belong to you","Negative","82%","No","--","--","--","Because everyone at protest don't necessarily have the same intentions","Negative","70%","I don't think there are measures that could be taken, people can be unpredictable, especially when they are emotional","Negative","26%","I don't think there are measures that you can take","Negative","26%","False"
"","","506f317f-ab9f-44c0-92e1-d01f95f9f862","","Moderate","21-29","Current student","Male","--","--","--","Asian","--","--","--","It is effecting people emotionally","Neutral","47%","Fighting and causing damage to property","Negative","81%","No","--","--","--","It is unsafe and no time","Negative","57%","Need plenty of police to patrol","Neutral","52%","Make it illegal","Negative","55%","False"
"","","2cf64c7c-f0bf-4f3f-8e8c-00ca5e7315fb","","Slightly conservative","21-29","Community member","Male","--","Black or African American","--","--","--","--","--","Being civil and willing to hear out other perspectives from sides that aren't tailored to them","Negative","55%","Causing a lot of havoc and destruction towards themselves, others and property and promoting something that is obviously dangerous","Negative","84%","Yes","It makes me feel a lot more supportive because of the other people who are joining towards these peaceful protests","Positive","70%","--","--","--","Having law enforcement there during the protest to ensure that nothing bad gets out of hand and can react quickly

","Neutral","72%","Causing arrests or using tear gas when it comes to protests like that","Negative","56%","False"
"","","2fd474c5-6224-49aa-a9a7-1c403306c8e8","","Slightly conservative","50-59","Community member","Female","White","--","--","--","--","Latinx","--","peaceful and non violent","Positive","54%","When they say allu akbar, death to $#$%$#, voices of hate, communist ideology supporting ISIS and terror groups","Negative","18%","No","--","--","--","It's not my thing","Negative","37%","It all depends on who the protestors are and what their intentions are. ","Neutral","61%","Law enforcement","Neutral","69%","False"
"","","d6e31db0-78f6-4623-82e6-cb8aa308e57e","","Very conservative","Above 60","Community member","Male","--","Black or African American","--","--","--","--","--","if its a peacable assembly that  does not  do physical harm to person or property or block physical access to the freedom of others  is  appropriate","Neutral","54%","if it threatens or  follows through  with physical harm of others","Neutral","80%","No","--","--","--","I generally do not see the point. In a democracy issues  are solved at the voting booth ","Neutral","63%","police presence I suppose","Neutral","51%","just a reminder to all that  violence will be dealt with  firmly","Neutral","69%","False"
"","","696488f3-3535-4cbb-ba5c-5af22757f5a0","","Slightly conservative","Above 60","Community member","Male","White","--","--","--","--","--","--","The protest should have a permit. It should be absolutely peaceful, free of violence, projectiles and looting. The protest should not consist of hate speech rhetoric and should not impact the daily flow of life such as blocking highways or bridges.","Neutral","55%","Violence, racism, blocking access to buildings, highways and bridges and zero defacing or damage to any property.","Negative","75%","No","--","--","--","I use other ways to voice my opinions. I don't like to put myself in danger of getting hurt.","Neutral","65%","Permits, police presence and advance precautions taken.","Neutral","69%","Permits should not be issued and organizers and violent people should be arrested and held for a minimum of thirty days.","Negative","66%","False"
"","","104f9cec-1096-41e8-9348-93056f4ba1db","","Very conservative","40-49","Current student","Female","--","Black or African American","--","--","--","--","--","when there is no violence and the participants are withought weapons","Neutral","55%","when there is violence and the protestants are carrying weapons with them ","Neutral","55%","Yes","the protest i engaged in was a peaceful one and violence free. however i deem it right to allow individuals assemble anytime they feel the need to protest against something without any form of blockage or restriction","Neutral","70%","--","--","--","there should be more laws to protect peaceful protests","Neutral","73%","i dont think i know so much about it","Neutral","34%","False"
"","","4dbcae20-28fa-4c0c-8012-627ac8cd0b16","","Slightly liberal","50-59","Staff","Female","White","--","--","--","--","--","--","I think the key is in the right that people peaceably assemble. So the characteristics that make a protest appropriate are that there is a clear purpose and the expression is peaceful. ","Neutral","55%","Actions that deem a protest inappropriate are that the participants resort to violence (physical or mental), break any laws or disrupt the community. The characteristics that deem them inappropriate would include that the purpose of the gathering is motivated by fear and hate, rather than understanding and desire to make the country better for everyone. ","Negative","75%","Yes","I haven't attended a protest for a very long time. My personal experience in attending protests was that most if not all of them were peaceful and centered around an important issue. Now, cultural issues such as race, religion and foundational principles about the country make the issues at times much more inflamed and prone to inappropriate behavior, fostering hate, and violence. ","Neutral","65%","--","--","--","That's a good question! It requires a cultural shift about a need for violence or responding to harms to others, personal or property to one where everyone understands violence isn't the answer and responding to peaceful protests. This includes the focus of the media. ","Neutral","67%","Again, I think this goes to broader cultural issues. We hold fast to our ""right"" to protest. However, I think a protest could be restricted or limited if there are already plans for harms against others such as the group having a message of hate or postings about planning violence, of any type, on social media. ","Neutral","58%","False"
"","","d7425b23-68fb-47ff-8af6-a677f0c673de","","Slightly liberal","30-39","Community member","Female","White","--","--","--","--","--","--","Peaceful protests with signs that lack guns or weapons and do not cause violence.","Positive","55%","violence, firearms, weapons, hateful actions that harm another's rights. ","Negative","82%","No","--","--","--","I work a lot and have to take care of sick loved ones. ","Neutral","49%","Contacting and writing your local politicians","Negative","70%","more police presence","Neutral","67%","False"
"","","d5a9d49f-5ae9-4e23-a89f-189e1d245260","","Slightly conservative","Above 60","Community member","Female","White","--","--","--","--","--","--","Being respectful at all times. No screaming or using violence","Positive","53%","Screaming, using violence, looting, being physical","Negative","68%","No","--","--","--","too many people, usually ends up in arguments and violence, don't agree with the protest","Negative","67%","police presence, remind protesters to remain calm and non-violent, remind protesters not to harm property","Neutral","71%","I am not sure what measures those would be. I believe there are some people that go to protests just to be violent, no matter what the protest is about. ","Neutral","55%","False"
"","","6146d2cc-0b0d-43c7-a60f-c8486e6481fe","","Slightly liberal","30-39","Community member","Male","White","--","--","--","--","--","--","People protest when they feel taken advantage of or to stand up for what they think is right.","Negative","57%","When laws are broken","Neutral","64%","Yes","People are capable of peacefully assembling. ","Neutral","63%","--","--","--","Voting for individuals that don't have fascist ideology. ","Neutral","41%","Idk, it's all perspective.","Neutral","48%","False"
"","","6e56cdb4-77a5-4b37-b41b-1a0571f1f941","","Very liberal","21-29","Current student","Female","White","--","--","--","--","--","--","When there are no violent acts committed, the protest is peaceful. Violent acts can include throwing items, smashing windows, forcefully pushing others, etc. As long as these actions do not occur, the protest is peaceful.","Neutral","56%","When it becomes violent and other laws are broken during the protest.","Negative","81%","No","--","--","--","I did not know there was a protest at the time. Additionally, a fear of the protest becoming violent","Negative","70%","Peaceful police precense, with not riot gear and with no intention of instigating violence.","Positive","58%","There is no such thing as an inappropriate protest. All protests are worth noting if enough people want to see a change.","Neutral","38%","False"
"","","5e044bcf-7ce4-4db0-966f-ebe433e4f3f4","","Very conservative","30-39","Community member","Female","White","--","--","--","--","--","--","Non violent protests are an appropriate protest. Speaking your mind without using violence to support your claim. ","Neutral","57%","An inappropriate protest would be when they riot the streets, start fires, and fights in the streets.","Negative","76%","No","--","--","--","I live in a fairly small town we have never experienced protests here.","Neutral","57%","I don’t think any measures should have to be taken to ensure this, people should just want what’s best for this country and realize violent protests do nothing but destroy the country even more.","Negative","36%","Probably none. People in this country have gone crazy and do what they want when they want.","Neutral","30%","False"
"","","b21554d2-5027-4349-96de-deb965e6e892","","Very liberal","30-39","Current student","Male","--","Black or African American","--","--","--","--","--","Protests are appropriate if a law violates someone's human right","Negative","55%","Protests are inappropriate if mass acts of violence occur, such as shootings, fistfights, and property damage

","Negative","80%","Yes","People have the right to protest or assemble in response toward  any law or action that violates basic human rights","Negative","70%","--","--","--","More police officers to ensure order is maintained

Background checks on organizers to ensure that they have the right frame of mind to organize","Neutral","73%","More of a police presence","Neutral","67%","False"
